id,friendsCount
120873942,620723
626397515,523171
596670005,467131
65589378,422318
437691294,419558
437691294,419558
437691294,419558
1092658418,412937
1092658418,412935
473782540,392721
236988090,388668
29610442,385973
148418872,385603
1077680880,368281
1077680880,368270
